"","A","B","C","D","E"
"4727","c","c","a","c","a"
"4728","b","c","c","b","c"
"4729","b","a","a","b","b"
"4730","b","c","b","a","a"
"4731","b","c","a","b","b"
"4732","a","a","a","a","a"
"4733","b","a","a","b","a"
"4734","c","a","c","c","a"
"4735","b","c","b","a","b"
"4736","c","a","a","b","c"
"4737","b","c","b","a","c"
"4738","a","a","a","a","a"
"4739","b","a","a","b","c"
"4740","a","a","a","a","a"
"4741","c","c","a","c","b"
"4742","b","a","a","b","c"
"4743","c","c","a","c","c"
"4744","a","a","a","a","a"
"4745","b","c","a","b","b"
"4746","b","b","a","b","c"
"4747","b","c","a","b","c"
"4748","a","a","a","a","a"
"4749","c","c","a","c","c"
"4750","c","c","b","b","b"
"4751","c","c","b","a","c"
"4752","a","a","c","a","b"
"4753","c","a","a","c","c"
"4754","b","c","b","a","b"
"4755","c","c","a","c","b"
"4756","a","a","a","a","a"
"4757","c","c","a","c","b"
"4758","a","a","a","a","a"
"4759","a","a","a","a","c"
"4760","b","b","a","b","b"
"4761","c","c","b","b","a"
"4762","a","a","a","a","b"
"4763","a","a","a","a","a"
"4764","c","c","b","c","b"
"4765","b","a","b","a","a"
"4766","b","b","a","c","b"
"4767","c","c","b","b","c"
"4768","b","a","a","b","a"
"4769","b","a","a","b","a"
"4770","a","a","a","a","c"
"4771","c","c","a","c","c"
"4772","c","c","a","c","c"
"4773","c","c","b","b","a"
"4774","c","c","b","b","c"
"4775","b","a","a","b","a"
"4776","a","a","a","a","a"
"4777","c","a","b","c","b"
"4778","b","c","a","b","a"
"4779","b","a","a","a","a"
"4780","a","a","a","a","a"
"4781","b","a","a","b","a"
"4782","b","c","a","c","c"
"4783","b","c","a","b","a"
"4784","b","c","a","b","b"
"4785","c","b","a","c","a"
"4786","a","a","a","a","b"
"4787","a","a","a","a","a"
"4788","c","c","a","c","b"
"4789","c","c","a","c","b"
"4790","b","c","a","b","c"
"4791","c","c","b","b","c"
"4792","b","a","a","b","a"
"4793","b","a","a","b","a"
"4794","a","a","b","a","a"
"4795","a","a","a","a","b"
"4796","c","b","a","c","c"
"4797","b","c","a","b","a"
"4798","a","a","a","b","a"
"4799","c","b","c","b","a"
"4800","b","a","a","b","a"
"4801","c","c","a","c","c"
"4802","b","a","a","b","b"
"4803","a","a","a","a","b"
"4804","b","c","a","b","c"
"4805","b","c","a","b","c"
"4806","b","a","a","b","a"
"4807","c","a","a","c","b"
"4808","c","c","a","c","c"
"4809","b","c","a","b","b"
"4810","a","a","a","a","a"
"4811","b","c","a","b","a"
"4812","c","c","a","c","b"
"4813","a","a","a","a","a"
"4814","a","a","a","a","b"
"4815","c","a","a","a","a"
"4816","a","a","b","c","b"
"4817","c","c","a","c","a"
"4818","a","c","a","a","c"
"4819","c","c","b","b","c"
"4820","a","a","a","a","a"
"4821","c","c","a","c","a"
"4822","c","c","a","c","c"
"4823","b","c","b","a","b"
"4824","a","c","a","a","c"
"4825","c","b","b","b","c"
"4826","b","a","a","b","b"
"4827","c","c","b","b","b"
"4828","b","c","a","b","a"
"4829","a","a","a","c","a"
"4830","b","a","a","b","b"
"4831","c","c","a","c","c"
"4832","b","c","a","b","b"
"4833","a","a","a","a","b"
"4834","a","a","a","a","c"
"4835","c","c","b","b","c"
"4836","b","b","a","b","a"
"4837","b","c","a","b","b"
"4838","a","c","b","c","b"
"4839","b","a","a","b","b"
"4840","a","a","a","a","b"
"4841","a","b","c","b","a"
"4842","a","a","a","a","b"
"4843","c","c","b","b","c"
"4844","a","a","b","a","a"
"4845","c","c","a","c","a"
"4846","c","c","a","c","b"
"4847","a","a","a","a","a"
"4848","c","c","a","c","b"
"4849","b","c","a","b","c"
"4850","b","c","b","a","c"
"4851","a","a","b","c","a"
"4852","b","c","b","c","b"
"4853","b","a","b","a","b"
"4854","c","b","a","c","a"
"4855","c","c","b","b","a"
"4856","a","a","b","c","b"
"4857","b","b","a","b","c"
"4858","c","c","a","c","b"
"4859","c","c","a","c","b"
"4860","a","a","c","a","c"
"4861","a","a","a","c","b"
"4862","c","c","a","b","c"
"4863","c","c","b","a","c"
"4864","a","a","a","c","b"
"4865","b","a","b","a","a"
"4866","a","a","a","a","b"
"4867","b","a","b","c","b"
"4868","c","c","a","c","c"
"4869","a","a","b","b","a"
"4870","a","c","a","a","b"
"4871","c","c","b","a","a"
"4872","a","a","a","a","a"
"4873","b","a","b","a","b"
"4874","a","a","b","a","a"
"4875","b","b","a","b","c"
"4876","a","a","a","a","a"
"4877","a","a","a","a","a"
"4878","b","c","a","b","c"
"4879","a","a","a","a","b"
"4880","a","a","a","a","b"
"4881","c","c","a","b","b"
"4882","b","c","a","b","c"
"4883","c","c","b","a","a"
"4884","c","c","a","c","c"
"4885","b","a","a","b","b"
"4886","c","c","b","c","b"
"4887","b","c","a","b","c"
"4888","a","a","b","c","c"
"4889","c","c","a","c","a"
"4890","b","c","b","a","c"
"4891","a","a","a","a","a"
"4892","b","c","a","b","a"
"4893","c","c","a","c","c"
"4894","a","a","c","a","a"
"4895","b","a","a","b","a"
"4896","b","a","a","b","a"
"4897","c","b","a","c","b"
"4898","b","a","a","b","a"
"4899","c","b","a","c","b"
"4900","b","b","b","a","a"
"4901","b","c","a","b","a"
"4902","a","b","a","b","c"
"4903","c","c","a","c","c"
"4904","a","c","a","a","c"
"4905","a","a","a","a","a"
"4906","c","b","a","c","c"
"4907","c","b","a","c","a"
"4908","a","a","a","a","a"
"4909","c","a","c","b","a"
"4910","a","a","a","a","a"
"4911","b","a","a","b","a"
"4912","a","a","b","c","a"
"4913","b","c","a","b","c"
"4914","c","b","b","c","a"
"4915","b","c","a","a","c"
"4916","b","a","a","a","b"
"4917","a","a","a","a","b"
"4918","b","c","a","b","c"
"4919","b","b","a","b","a"
"4920","c","c","a","b","b"
"4921","a","a","a","a","c"
"4922","a","a","a","a","a"
"4923","c","a","a","b","a"
"4924","a","a","a","a","a"
"4925","c","c","a","c","b"
"4926","b","b","c","b","c"
"4927","a","c","b","c","b"
"4928","a","a","a","a","a"
"4929","c","c","a","c","c"
"4930","c","c","a","c","c"
"4931","b","b","a","b","c"
"4932","c","c","a","c","c"
"4933","b","a","a","b","c"
"4934","c","c","a","c","a"
"4935","c","a","a","c","a"
"4936","b","a","a","b","a"
"4937","b","a","a","b","a"
"4938","c","c","a","c","c"
"4939","c","a","a","a","a"
"4940","a","a","a","b","a"
"4941","c","c","a","b","a"
"4942","b","c","c","b","c"
"4943","a","a","a","a","b"
"4944","b","c","a","b","c"
"4945","c","c","b","b","b"
"4946","a","a","a","b","c"
"4947","a","c","a","a","c"
"4948","a","c","a","a","a"
"4949","c","b","a","c","c"
"4950","b","a","b","c","a"
"4951","c","c","b","c","b"
"4952","c","c","b","b","c"
"4953","c","c","a","c","a"
"4954","b","a","a","c","a"
"4955","b","b","b","a","c"
"4956","a","c","b","c","b"
"4957","c","a","a","c","a"
"4958","c","c","a","c","a"
"4959","b","b","a","b","c"
"4960","c","c","a","c","a"
"4961","c","c","b","b","c"
"4962","a","a","b","c","a"
"4963","b","b","a","b","b"
"4964","c","a","a","c","a"
"4965","c","c","a","c","c"
"4966","c","c","a","c","c"
"4967","a","c","b","c","b"
"4968","c","c","c","c","a"
"4969","b","a","a","b","b"
"4970","a","a","a","a","a"
"4971","b","a","a","a","a"
"4972","c","c","a","c","c"
"4973","b","a","a","b","a"
"4974","b","a","b","a","b"
"4975","a","a","a","a","b"
"4976","b","b","b","a","a"
"4977","a","a","b","a","a"
"4978","a","c","a","c","c"
"4979","b","a","a","b","a"
"4980","a","c","a","a","b"
"4981","a","a","a","b","c"
"4982","a","a","a","c","a"
"4983","c","c","a","c","c"
"4984","a","c","a","a","c"
"4985","a","a","a","a","a"
"4986","c","c","a","c","c"
"4987","b","c","a","b","b"
"4988","b","a","a","b","c"
"4989","a","a","a","a","a"
"4990","c","c","a","b","b"
"4991","a","a","a","a","a"
"4992","a","a","a","a","c"
"4993","a","a","a","c","b"
"4994","a","a","a","a","a"
"4995","b","a","a","b","a"
"4996","a","a","a","a","a"
"4997","b","a","a","a","a"
"4998","b","b","a","b","c"
"4999","b","b","a","b","b"
"5000","c","c","b","b","a"
